time_utc,account,balance,equity,action,phase,progress_pct,day_dd_pct,total_dd_pct,forecast,engine_state,engine_entry,engine_sl,engine_conf,news_blocked,news_event,plan,sent
2026-07-14 17:19:25,54939391,6265.45,6207.27,trade,1,-0.929,-0.929,-0.929,0.15,flat,,,,0,,in_sync,0
2026-07-14 17:30:48,54939391,6265.45,6198.85,trade,1,-1.063,-1.063,-1.063,0.15,flat,,,,0,,in_sync,0
2026-07-14 17:45:49,54939391,6265.45,6203.38,trade,1,-0.991,-0.991,-0.991,0.15,flat,,,,0,,in_sync,0
2026-07-14 18:00:49,54939391,6265.45,6201.12,trade,1,-1.027,-1.027,-1.027,0.15,flat,,,,0,,in_sync,0
2026-07-14 18:15:49,54939391,6265.45,6200.35,trade,1,-1.039,-1.039,-1.039,0.15,flat,,,,0,,in_sync,0
2026-07-14 18:30:48,54939391,6265.45,6205.62,trade,1,-0.955,-0.955,-0.955,0.15,flat,,,,0,,in_sync,0
2026-07-14 18:45:48,54939391,6265.45,6216.2,trade,1,-0.786,-0.786,-0.786,0.15,flat,,,,0,,in_sync,0
2026-07-14 19:00:49,54939391,6265.45,6208.4,trade,1,-0.911,-0.911,-0.911,0.15,flat,,,,0,,in_sync,0
2026-07-14 19:15:48,54939391,6265.45,6205.98,trade,1,-0.949,-0.949,-0.949,0.15,flat,,,,0,,in_sync,0
2026-07-14 19:30:48,54939391,6265.45,6213.64,trade,1,-0.827,-0.827,-0.827,0.15,flat,,,,0,,in_sync,0
2026-07-14 19:45:48,54939391,6265.45,6209.47,trade,1,-0.893,-0.893,-0.893,0.15,flat,,,,0,,in_sync,0
2026-07-14 20:00:49,54939391,6265.45,6207.88,trade,1,-0.919,-0.919,-0.919,0.15,flat,,,,0,,in_sync,0
2026-07-14 20:15:50,54939391,6265.45,6208.44,trade,1,-0.91,-0.91,-0.91,0.15,flat,,,,0,,in_sync,0
2026-07-14 20:30:49,54939391,6265.45,6209.71,trade,1,-0.89,-0.89,-0.89,0.15,flat,,,,0,,in_sync,0
2026-07-14 20:45:48,54939391,6265.45,6213.3,trade,1,-0.832,-0.832,-0.832,0.15,flat,,,,0,,in_sync,0
2026-07-14 21:00:48,54939391,6265.45,6209.75,trade,1,-0.889,-0.889,-0.889,0.15,flat,,,,0,,in_sync,0
