open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason
2015-12-31 16:00:00,2016-01-04 05:45:00,sell,0.06,1061.24,1068.76,-45.08,-1.04,high,stop_loss
2016-01-04 08:00:00,2016-01-04 13:45:00,sell,0.05,1071.16,1079.5,-41.66,-1.03,high,stop_loss
2016-01-04 16:00:00,2016-01-05 11:45:00,sell,0.05,1077.66,1080.92,-16.3,-0.35,high,trail_stop
2016-01-05 12:00:00,2016-01-06 08:45:00,sell,0.05,1079.54,1084.37,-24.13,-0.53,high,trail_stop
2016-01-06 12:00:00,2016-01-06 18:45:00,sell,0.05,1084.79,1094.58,-48.99,-1.03,high,stop_loss
2016-01-06 20:00:00,2016-01-07 13:15:00,sell,0.03,1093.46,1104.61,-33.45,-1.02,med,stop_loss
2016-01-07 16:00:00,2016-01-08 16:15:00,sell,0.02,1102.52,1104.44,-3.85,-0.16,med,trail_stop
2016-01-08 20:00:00,2016-01-13 19:00:00,sell,0.01,1102.16,1093.31,8.85,0.67,low,trail_stop
2016-01-13 20:00:00,2016-01-15 07:15:00,sell,0.01,1093.31,1084.77,8.54,0.65,low,trail_stop
2016-01-15 08:00:00,2016-01-15 13:45:00,sell,0.01,1084.07,1097.14,-13.07,-1.02,low,stop_loss
2016-01-15 16:00:00,2016-01-20 08:15:00,sell,0.01,1090.14,1096.65,-6.5,-0.47,low,trail_stop
2016-01-20 12:00:00,2016-01-20 17:00:00,sell,0.01,1094.84,1105.26,-10.42,-1.03,low,stop_loss
2016-01-20 20:00:00,2016-01-25 07:30:00,sell,0.01,1103.11,1103.79,-0.68,-0.06,low,trail_stop
2016-02-04 08:00:00,2016-02-05 13:45:00,buy,0.01,1142.03,1149.61,7.57,0.7,low,trail_stop
2016-02-05 16:00:00,2016-02-09 07:45:00,buy,0.01,1153.9,1187.86,33.96,2.68,low,trail_stop
2016-02-09 08:00:00,2016-02-10 09:15:00,buy,0.01,1186.58,1182.54,-4.04,-0.25,low,trail_stop
2016-02-10 12:00:00,2016-02-11 20:15:00,buy,0.02,1182.61,1247.54,129.87,4.2,med,trail_stop
2016-02-12 08:00:00,2016-02-15 04:15:00,buy,0.01,1242.11,1218.79,-23.32,-1.01,low,stop_loss
2016-02-15 08:00:00,2016-02-16 04:00:00,buy,0.01,1212.23,1191.05,-21.17,-1.01,med,stop_loss
2016-02-16 08:00:00,2016-02-17 00:30:00,buy,0.01,1195.76,1196.14,0.38,0.02,med,trail_stop
2016-02-17 08:00:00,2016-02-22 03:45:00,buy,0.01,1210.96,1217.46,6.5,0.29,med,trail_stop
2016-02-22 08:00:00,2016-02-24 19:00:00,buy,0.02,1210.47,1234.62,48.31,1.32,med,trail_stop
2016-02-24 20:00:00,2016-02-26 15:30:00,buy,0.01,1229.86,1220.83,-9.04,-0.41,med,trail_stop
2016-02-26 16:00:00,2016-03-02 01:00:00,buy,0.01,1217.22,1226.37,9.14,0.42,med,trail_stop
2016-03-02 08:00:00,2016-03-04 13:30:00,buy,0.02,1227.97,1255.37,54.79,1.43,high,trail_stop
2016-03-04 16:00:00,2016-03-09 14:15:00,buy,0.02,1269.1,1248.9,-40.41,-1.01,high,stop_loss
2016-03-09 16:00:00,2016-03-11 08:45:00,buy,0.02,1253.52,1264.75,22.46,0.59,high,trail_stop
2016-03-11 12:00:00,2016-03-14 14:45:00,buy,0.02,1264.44,1243.96,-40.97,-1.01,high,stop_loss
2016-03-14 16:00:00,2016-03-18 11:30:00,buy,0.02,1243.97,1251.41,14.88,0.39,high,trail_stop
2016-03-18 12:00:00,2016-03-23 03:45:00,buy,0.02,1251.12,1242.39,-17.47,-0.5,med,trail_stop
2016-03-23 08:00:00,2016-03-23 13:30:00,buy,0.03,1234.58,1219.31,-45.8,-1.02,high,stop_loss
2016-03-23 16:00:00,2016-03-30 15:00:00,buy,0.03,1223.44,1227.12,11.02,0.22,high,trail_stop
2016-03-30 16:00:00,2016-04-01 12:30:00,buy,0.02,1226.16,1224.51,-3.3,-0.11,med,trail_stop
2016-04-01 16:00:00,2016-04-06 11:30:00,buy,0.02,1214.34,1221.1,13.52,0.44,med,trail_stop
2016-04-06 12:00:00,2016-04-08 10:00:00,buy,0.02,1219.98,1229.92,19.88,0.76,med,trail_stop
2016-04-08 12:00:00,2016-04-13 05:00:00,buy,0.03,1234.66,1249.01,43.03,1.08,high,trail_stop
2016-04-13 08:00:00,2016-04-14 00:15:00,buy,0.04,1249.51,1236.76,-51.0,-1.02,high,stop_loss
2016-04-14 08:00:00,2016-04-14 15:45:00,buy,0.03,1239.48,1225.47,-42.04,-1.02,high,stop_loss
2016-04-14 16:00:00,2016-04-20 19:15:00,buy,0.02,1226.12,1242.7,33.17,1.11,med,trail_stop
2016-04-20 20:00:00,2016-04-21 16:15:00,buy,0.02,1245.14,1255.35,20.43,0.7,med,trail_stop
2016-04-21 20:00:00,2016-04-22 16:15:00,buy,0.02,1249.97,1233.09,-33.74,-1.02,med,stop_loss
2016-04-22 20:00:00,2016-05-03 14:15:00,buy,0.02,1233.74,1286.99,106.49,3.24,med,trail_stop
2016-05-03 16:00:00,2016-05-09 08:15:00,buy,0.03,1285.82,1277.95,-23.6,-0.46,high,trail_stop
2016-05-09 12:00:00,2016-05-10 14:15:00,buy,0.03,1272.93,1258.37,-43.66,-1.02,high,stop_loss
2016-05-10 16:00:00,2016-05-12 20:00:00,buy,0.03,1259.29,1266.81,22.57,0.55,high,trail_stop
2016-05-13 08:00:00,2016-05-16 16:30:00,buy,0.03,1274.48,1274.71,0.69,0.02,high,trail_stop
2016-05-16 20:00:00,2016-05-18 13:00:00,buy,0.03,1274.78,1268.41,-19.11,-0.47,high,trail_stop
2016-05-18 16:00:00,2016-05-18 19:00:00,buy,0.03,1273.42,1259.87,-40.65,-1.02,high,stop_loss
2016-05-18 20:00:00,2016-05-24 07:45:00,buy,0.03,1257.35,1242.07,-45.83,-1.02,high,stop_loss
2016-05-24 08:00:00,2016-05-24 15:30:00,buy,0.04,1242.92,1231.51,-45.64,-1.02,high,stop_loss
2016-05-24 16:00:00,2016-05-25 13:30:00,buy,0.02,1231.12,1219.15,-23.94,-1.02,med,stop_loss
2016-05-25 16:00:00,2016-05-26 14:45:00,buy,0.02,1222.1,1222.45,0.71,0.03,med,trail_stop
2016-05-26 16:00:00,2016-05-27 15:00:00,buy,0.02,1222.45,1210.3,-24.3,-1.02,med,stop_loss
2016-05-27 16:00:00,2016-05-30 01:15:00,buy,0.01,1214.55,1201.4,-13.15,-1.02,low,stop_loss
2016-05-30 08:00:00,2016-06-01 16:00:00,buy,0.01,1203.26,1206.58,3.31,0.25,low,trail_stop
2016-06-08 20:00:00,2016-06-15 11:45:00,buy,0.01,1262.34,1278.39,16.05,1.44,low,trail_stop
2016-06-15 12:00:00,2016-06-16 09:45:00,buy,0.02,1279.17,1301.94,45.54,2.03,med,trail_stop
2016-06-16 12:00:00,2016-06-16 16:15:00,buy,0.02,1304.42,1301.63,-5.58,-0.2,med,trail_stop
2016-06-16 20:00:00,2016-06-19 22:00:00,buy,0.01,1281.82,1281.69,-0.13,-0.01,low,trail_stop
2016-06-20 08:00:00,2016-06-21 11:00:00,buy,0.01,1287.54,1269.57,-17.97,-1.01,low,stop_loss
2016-06-21 12:00:00,2016-06-23 22:00:00,buy,0.02,1271.53,1253.55,-35.97,-1.02,med,stop_loss
2016-06-24 08:00:00,2016-06-24 14:00:00,buy,0.02,1313.76,1309.3,-8.91,-0.25,med,trail_stop
2016-06-28 08:00:00,2016-07-08 12:30:00,buy,0.01,1314.04,1347.72,33.68,1.24,low,trail_stop
2016-07-08 16:00:00,2016-07-11 11:15:00,buy,0.02,1353.1,1356.34,6.47,0.18,high,trail_stop
2016-07-11 12:00:00,2016-07-12 15:15:00,buy,0.02,1357.61,1339.52,-36.17,-1.01,high,stop_loss
2016-07-12 16:00:00,2016-07-14 08:00:00,buy,0.02,1337.54,1329.45,-16.2,-0.47,high,trail_stop
2016-07-14 12:00:00,2016-07-20 10:45:00,buy,0.02,1325.0,1321.9,-6.22,-0.19,high,trail_stop
2016-07-20 12:00:00,2016-07-25 00:30:00,buy,0.03,1318.53,1319.36,2.5,0.06,high,trail_stop
2016-07-25 08:00:00,2016-07-28 17:15:00,buy,0.03,1316.88,1332.21,46.01,1.17,high,trail_stop
2016-07-28 20:00:00,2016-08-04 02:30:00,buy,0.03,1337.26,1353.81,49.65,1.26,high,trail_stop
2016-08-04 08:00:00,2016-08-05 12:30:00,buy,0.04,1351.96,1353.56,6.37,0.14,high,trail_stop
2016-08-05 16:00:00,2016-08-11 01:15:00,buy,0.02,1339.6,1343.71,8.24,0.31,med,trail_stop
2016-08-11 08:00:00,2016-08-11 18:45:00,buy,0.04,1346.04,1341.51,-18.14,-0.39,high,trail_stop
2016-08-11 20:00:00,2016-08-12 16:15:00,buy,0.03,1338.1,1343.14,15.1,0.39,high,trail_stop
2016-08-12 20:00:00,2016-08-17 04:45:00,buy,0.02,1335.1,1342.24,14.28,0.46,med,trail_stop
2016-08-17 08:00:00,2016-08-19 11:30:00,buy,0.03,1344.76,1343.18,-4.74,-0.13,high,trail_stop
2016-08-19 12:00:00,2016-08-22 02:45:00,buy,0.04,1343.62,1331.65,-47.85,-1.02,high,stop_loss
2016-08-22 08:00:00,2016-08-24 12:30:00,buy,0.04,1333.55,1332.71,-3.34,-0.07,high,trail_stop
2016-08-24 16:00:00,2016-08-26 16:15:00,buy,0.04,1326.36,1331.21,19.37,0.45,high,trail_stop
2016-08-26 20:00:00,2016-08-30 19:15:00,buy,0.04,1321.16,1309.46,-46.79,-1.02,high,stop_loss
2016-08-30 20:00:00,2016-09-02 12:30:00,buy,0.03,1311.08,1305.78,-15.91,-0.52,med,trail_stop
2016-09-02 16:00:00,2016-09-08 15:30:00,buy,0.02,1318.95,1339.59,41.27,1.62,med,trail_stop
2016-09-08 16:00:00,2016-09-09 18:15:00,buy,0.03,1339.9,1329.03,-32.59,-1.02,med,stop_loss
2016-09-09 20:00:00,2016-09-13 18:15:00,buy,0.03,1328.78,1318.37,-31.23,-1.03,med,stop_loss
2016-09-13 20:00:00,2016-09-15 13:30:00,buy,0.03,1318.22,1315.15,-9.23,-0.29,med,trail_stop
2016-09-15 16:00:00,2016-09-16 13:15:00,buy,0.02,1319.53,1307.8,-23.45,-1.02,med,stop_loss
2016-09-16 16:00:00,2016-09-27 12:00:00,buy,0.02,1308.67,1332.22,47.1,2.11,med,trail_stop
2016-09-27 16:00:00,2016-09-29 12:30:00,buy,0.03,1327.12,1316.92,-30.57,-1.03,med,stop_loss
2016-09-29 16:00:00,2016-09-30 14:00:00,buy,0.03,1318.03,1318.41,1.13,0.04,med,trail_stop
2016-09-30 16:00:00,2016-10-03 16:15:00,buy,0.01,1319.77,1309.58,-10.18,-1.03,low,stop_loss
2016-10-03 20:00:00,2016-10-04 12:15:00,buy,0.01,1313.53,1303.94,-9.59,-1.03,low,stop_loss
2016-10-11 16:00:00,2016-10-13 03:15:00,sell,0.01,1257.09,1261.87,-4.77,-0.4,low,trail_stop
2016-10-13 08:00:00,2016-10-18 01:00:00,sell,0.01,1258.46,1257.84,0.63,0.05,low,trail_stop
2016-10-18 08:00:00,2016-10-19 09:30:00,sell,0.01,1260.98,1270.57,-9.58,-1.03,low,stop_loss
2016-10-19 12:00:00,2016-10-24 12:30:00,sell,0.01,1270.15,1270.66,-0.51,-0.05,low,trail_stop
2016-10-24 16:00:00,2016-10-25 15:00:00,sell,0.02,1262.51,1271.73,-18.44,-1.03,low,stop_loss
2016-10-25 16:00:00,2016-10-28 13:30:00,sell,0.02,1272.62,1273.49,-1.72,-0.1,low,trail_stop
2016-10-28 16:00:00,2016-10-28 17:30:00,sell,0.01,1267.35,1276.6,-9.24,-1.03,low,stop_loss
2016-10-28 20:00:00,2016-11-01 11:00:00,sell,0.01,1274.61,1285.61,-11.0,-1.02,low,stop_loss
2016-11-01 12:00:00,2016-11-02 08:00:00,sell,0.01,1286.35,1296.5,-10.15,-1.03,low,stop_loss
2016-11-17 08:00:00,2016-11-25 08:15:00,sell,0.01,1228.01,1189.6,38.41,2.08,low,trail_stop
2016-11-25 12:00:00,2016-11-28 01:00:00,sell,0.02,1187.63,1194.82,-14.38,-0.45,med,trail_stop
2016-11-28 08:00:00,2016-12-02 01:00:00,sell,0.02,1193.16,1176.62,33.08,1.06,med,trail_stop
